player_id,team,player,interceptionsAVG,interceptionsINT,interceptionsTD,interceptionsYDS,kickReturnsAVG,kickReturnsLONG,kickReturnsNO,kickReturnsTD,kickReturnsYDS,kickingFGA,kickingFGM,kickingLONG,kickingPCT,kickingPTS,kickingXPA,kickingXPM,passingATT,passingCOMPLETIONS,passingINT,passingPCT,passingTD,passingYDS,passingYPA,puntReturnsAVG,puntReturnsLONG,puntReturnsNO,puntReturnsTD,puntReturnsYDS,puntingIn 20,puntingLONG,puntingNO,puntingTB,puntingYDS,puntingYPP,receivingLONG,receivingREC,receivingTD,receivingYDS,receivingYPR,rushingCAR,rushingLONG,rushingTD,rushingYDS,rushingYPC
105712,North Texas,Scott Hall,,,,,,,,,,,,,,,,,237.0,134.0,4.0,0.565,14.0,1818.0,7.7,,,,,,,,,,,,,,,,,61.0,15.0,1.0,11.0,0.2
105716,North Texas,Walter Priestley,25.0,1.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105719,North Texas,Brad Kadlubar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.0,73.0,0.0,2919.0,40.0,,,,,,,,,,
105739,North Texas,Kevin Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,16.0,0.0,215.0,13.4,1.0,0.0,0.0,-5.0,-5.0
105751,Syracuse,Jared Jones,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,60.0,37.0,3.0,545.0,14.7,3.0,3.0,0.0,-8.0,-2.7
105753,Syracuse,Collin Barber,,,,,,,,,,20.0,13.0,46.0,0.65,60.0,24.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105755,Syracuse,Diamond Ferri,40.3,4.0,1.0,161.0,,,,,,,,,,,,,,,,,,,,4.0,6.0,4.0,0.0,16.0,,,,,,,,,,,,28.0,30.0,2.0,141.0,5.0
105758,Syracuse,Greg Hanoian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,1.0,24.0,4.8,10.0,15.0,0.0,41.0,4.1
105772,Syracuse,Andre Fontenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,15.0,1.0,222.0,14.8,,,,,
105798,Colorado State,Joel Dreessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,43.0,3.0,427.0,9.9,1.0,2.0,0.0,2.0,2.0
